Handle,Distance_Min
0-0mia0-0,0.6666666666666666
0-1eth,0.42857142857142855
000999888777,0.15384615384615385
000ethlens,0.25
000xiaoyan,0.2222222222222222
000yg,0
001hf,0.07692307692307693
001hua,0
00225,0.1
002hf,0
002hua,0
00302,0.1111111111111111
00325,0.07692307692307693
003hf,0
003hua,0
004hf,0
004hua,0
005hf,0
005hua,0
006hf,0
006hua,0
007band,0
007hf,0
007hua007,0
008hf,0
008hua,0
009hf,0.16666666666666666
009hua,0
00adreno00f23,0.14285714285714285
00fff0,0.6363636363636364
010hf,0
01klim,0
01proton,0.2972972972972973
0218-cmd,0
0262664,0.17857142857142858
02holzem,0.23076923076923078
02klim,0
04234,0
0432liwen,0.21428571428571427
04753eth,0
04c,0
04dx,0
04saf,0
04soulali,0
04travis,0.08333333333333333
05kazzzz,0.15789473684210525
0608ak,0.125
070649stenpolkadot,0.10526315789473684
085819666304,0
08jaafwuvyb,0.2
0923788,0.3684210526315789
0982036203zaq,0
099popovb2c,0
0f930,0.14285714285714285
0hacker0k,0
0hbee,0
0htjit,0.12
0ihsan,0.5
0kelv,0.3
0liversmith,0
0miko,0
0rli-e,0.25806451612903225
0u8120u812,0.2
0x-adam,0
0x-beacon-akhenaton,0
0x-free-guy,0
0x-gitcion,0.6388888888888888
0x-lan,0.2727272727272727
0x-y4c0,0.16666666666666666
0x0088,0.05555555555555555
0x00lens,0.42857142857142855
0x0101x0,0
0x0226,0
0x0r486lock,0
0x0x0x0x0x0x9,0.5
0x0z4n,0
0x100numebr,0
0x112828,0
0x113838,0
0x17d9ef78,0.4
0x214abyss,0
0x2a-dbt,0
0x2so,0
0x31b,0.2
0x3anthony,0
0x4531,0.3125
0x4880,0
0x4936,0
0x4graham,0
0x4min,0
0x567567,0.3157894736842105
0x614472a,0
0x621e,0.5
0x6666666,0
0x6688,0
0x7152a8e,0.14285714285714285
0x7a68,0.47058823529411764
0x85f,0
0x860000,0
0x991-thomas,0.09090909090909091
0x9x9x9,0.18181818181818182
0xaa00,0.3076923076923077
0xace1,0
0xadriancripto,0
0xadrien9,0.18181818181818182
0xairin,0.15384615384615385
0xakshay,0
0xalfie,0.07692307692307693
0xalpas,0.41379310344827586
0xalphadefi,0
0xalphadoc,0.4
0xamazingg,0
0xamdead,0.2
0xangga,0
0xanothermike,0.23809523809523808
0xar4sh,0.2
0xarhat,0
0xaritra,0
0xarmagan,0.55
0xatomist,0
0xaurelius,0.6
0xaut1st,0.058823529411764705
0xb339yuan,0
0xb3n,0
0xbacklog,0.6153846153846154
0xbaer,0
0xbaka,0.1111111111111111
0xbamboo,0
0xbb19,0.2857142857142857
0xbeach,0.13333333333333333
0xbelulu,0.4782608695652174
0xbenja,0
0xbifftannen,0
0xbiki,0
0xbilguun,0.15384615384615385
0xbionic,0
0xbitk,0
0xbjad,0.5333333333333333
0xblll,0.11764705882352941
0xblueeye,0
0xbogas,0
0xbooot,0.045454545454545456
0xboru,0.2
0xbut,0.08333333333333333
0xc0de4c0ffee,0.4166666666666667
0xc0le,0.125
0xc25fee20,0
0xcairo,0.06666666666666667
0xcarling,0.09090909090909091
0xcarnation,0
0xckg,0
0xcodemonkey,0.35
0xcoinav,0.038461538461538464
0xcoinstantine,0.4117647058823529
0xcoolio,0.3333333333333333
0xcope,0.18181818181818182
0xcryptojohn,0
0xcucu,0.25
0xcvs,0
0xdanielson,0.3125
0xdans,0
0xdapper,0.18181818181818182
0xdatarunner,0
0xdavi,0.17647058823529413
0xddde,0.5
0xdragontw,0
0xdreamtime,0.2692307692307692
0xdrunky,0.1111111111111111
0xduck,0.09090909090909091
0xdudu,0.3333333333333333
0xe37,0
0xeasports,0
0xeffdee,0.28205128205128205
0xekn,0
0xelric,0.2727272727272727
0xemma1024,0.1
0xemperor,0.4166666666666667
0xeuuuler,0
0xevon,0.4782608695652174
0xezze,0.35294117647058826
0xf783,0.3
0xfama,0
0xfelix1989,0.3333333333333333
0xff33,0.07692307692307693
0xfirekeeper,0
0xfisherman007,0.4
0xfiurf,0
0xfkr,0
0xflynn,0.2727272727272727
0xfornax,0.25
0xfuri,0
0xfyi,0.16666666666666666
0xgabi,0.6896551724137931
0xgametime,0.2222222222222222
0xgavinl,0
0xgear0,0.1111111111111111
0xgitpay,0
0xgladiy,0
0xglibglobthegod,0.34615384615384615
0xglt,0
0xgokhan,0.42857142857142855
0xguccidax,0.8
0xguguman,0.45454545454545453
0xguide,0.6
0xgunter,0.14285714285714285
0xhackworth,0.36363636363636365
0xham3d,0
0xhantt,0.125
0xhil,0
0xhker,0.4
0xhomeless,0
0xhorsepower,0.25
0xhung,0
0ximconfused,0
0xincel,0.1
0xjackl,0.45454545454545453
0xjaffaelronin0x,0.2222222222222222
0xjasons,0.3333333333333333
0xjerryzhang,0
0xjim457,0.3142857142857143
0xjivinci,0.1
0xjk,0.5416666666666666
0xjl1222,0.07692307692307693
0xjohnn,0.25
0xjonholdscrypto,0.3333333333333333
0xjoshua,0.6842105263157895
0xjuanda,0
0xkaan,0.08
0xkafo,0.2727272727272727
0xkaptan,0.2
0xkaruru,0
0xkennyzeng,0.31666666666666665
0xkh,0
0xkibi,0
0xkipp,0
0xkiv,0.3125
0xkuiqian,0.0625
0xkvothe,0.25
0xkydo,0.53125
0xlaika,0.2
0xlands,0.09090909090909091
0xlany,0.2857142857142857
0xlaw0,0
0xlemonbit,0.057692307692307696
0xlian0,0.2222222222222222
0xlibert3d,0.35
0xlilychiu,0.4444444444444444
0xlittlefat,0.18181818181818182
0xluc,0.125
0xlws,0.16666666666666666
0xmaka,0.25
0xmakesy,0.3333333333333333
0xmarkus,0.2222222222222222
0xmartini,0.34375
0xmay18,0.26666666666666666
0xmayne,0.1111111111111111
0xmerkle,0
0xmiiladd,0.3125
0xmikado,0
0xmingx,0.058823529411764705
0xmo7d,0.21428571428571427
0xmodene,0.48148148148148145
0xmoei,0.17647058823529413
0xmoeza,0.3076923076923077
0xmolecul,0.125
0xmonoe,0.42857142857142855
0xmoonape,0
0xmoth,0.16
0xmuzzy0707,0.44
0xmycaleum,0.5833333333333334
0xn0s,0
0xn1,0.2857142857142857
0xn3ville,0.4117647058823529
0xnetrunner,0.25
0xnftbuzz,0
0xnftmarket,0
0xngmi,0.2857142857142857
0xnirmal,0
0xniuniu,0
0xnorthern,0
0xnshuman,0.5789473684210527
0xntando,0.2
0xnuggan,0.5238095238095238
0xolimpio,0.1
0xorg2022,0.13333333333333333
0xosprey,0.4827586206896552
0xozep,0.36363636363636365
0xparashar,0.4
0xparasitic,0.4909090909090909
0xpaspres,0.16666666666666666
0xpayable,0.4375
0xpeko,0
0xpeterpan,0.3333333333333333
0xpetra,0.6666666666666666
0xpeyman,0
0xpik,0
0xpipilu,0.5652173913043478
0xpl,0.23809523809523808
0xponzi9,0
0xpr0f,0.2
0xpulcio,0.17647058823529413
0xpurpleth,0
0xquez,0
0xr0gu3,0
0xraiden,0.1
0xrake,0.5238095238095238
0xralphie,0.07692307692307693
0xraztik,0.2857142857142857
0xrealcaptain,0.11764705882352941
0xremiss,0
0xrobin,0.3076923076923077
0xroe,0.6086956521739131
0xrunner1,0.16666666666666666
0xrusowsky,0.2222222222222222
0xsailing,0
0xsamuel-eth,0
0xsankin,0.3333333333333333
0xsardius,0.6578947368421053
0xseeep,0.11764705882352941
0xsenad,0.6538461538461539
0xsep,0.3125
0xsercan,0.2962962962962963
0xserdark,0
0xshylock,0.125
0xsiam,0.2857142857142857
0xsig0x,0
0xsigma,0
0xsiina,0
0xsinamap,0
0xsnipr,0
0xsondre,0
0xspring,0.125
0xsuch,0
0xsull,0
0xsunnyt,0.2903225806451613
0xsuuos,0.45454545454545453
0xsuzu,0.25
0xsvcdev,0
0xtaobao,0
0xtaotieh,0
0xtassilo,0
0xthore,0.36666666666666664
0xthreezero,0
0xtjm,0.18181818181818182
0xtobias,0.4166666666666667
0xtommythomas,0.2
0xtrajectory,0.2127659574468085
0xtranqui,0
0xuser,0.16129032258064516
0xuser42,0
0xvaibhav,0
0xvale,0.21428571428571427
0xvalkyrie88,0.13333333333333333
0xvenky,0.2727272727272727
0xverve,0.23076923076923078
0xvincent,0.25
0xviolence,0.4166666666666667
0xvivekz,0.36363636363636365
0xweaver,0
0xwendao,0
0xwildhare,0.5777777777777777
0xwilliam,0
0xwizardof0x,0.5416666666666666
0xworld999,0
0xx0xx,0.2
0xxkyc,0.1111111111111111
0xyatagarasu,0.4
0xyifei,0.3333333333333333
0xymc,0.1111111111111111
0xyms,0
0xyolki,0.3333333333333333
0xyootou,0.25
0xyuki-kudasai,0.07692307692307693
0xyvz,0.35294117647058826
0xzenlee,0
0xzeroleon,0
0xzmk,0.3125
0xzoomeye,0
0xzoz,0
0zan1991,0
1000eth,0.16666666666666666
1000weth,0.09523809523809523
10011u,0.07692307692307693
1001razavi,0.1
1002crypto,0
100kiyakou,0.18181818181818182
100xlabs,0.058823529411764705
101213k,0
101eren,0.045454545454545456
101hilda,0
1036627565,0
1061482147,0
1073325,0
108665792,0
1095510614,0.25
1095722685,0
1097128460,0.09523809523809523
10b57e6da0,0.11764705882352941
10belovv,0
10eiss,0.25
10vitalik10,0
1106220149,0.36363636363636365
11212121,0
112233xxx,0
1143433557,0.06666666666666667
1148699531,0.125
1153563777,0.3
1153613777,0
1175601131,0
118989,0
119565675151790,0
11doraemen,0.5
11v12,0.42857142857142855
1209224911,0
12123gg,0.21428571428571427
122526,0.22727272727272727
12332154,0
123456canran,0
1234delta,0
1235xx,0
123boko,0.1111111111111111
123poorguy,0.14285714285714285
123qwert321,0
1279992008,0.11764705882352941
12agez,0.25
12crew,0.125
12doctor,0
130641,0.12121212121212122
131233,0.16666666666666666
1314dfe,0
131sxj,0.3448275862068966
13367385988,0
1337kol,0
1351555799,0
136551109,0
13668830018,0.07692307692307693
136718javad,0.3333333333333333
136902464,0.13793103448275862
13697654310,0.4
13718252076,0
13753856110,0.16666666666666666
13777466266,0.3508771929824561
13803852630,0.043478260869565216
13826185836,0.5714285714285714
13843677222,0.125
13857238876,0.2857142857142857
13858337922,0.07017543859649122
13883272070,0
13itkiller,0
1413191413,0.2553191489361702
1417alex,0.4166666666666667
142296972,0.125
1471966774,0.2857142857142857
147c,0.13333333333333333
15087513805,0
15095938764,0
15195689769,0
15226342722,0.23809523809523808
15302748097,0.09375
15313122213,0.2727272727272727
1531352653,0
15338700010,0.16666666666666666
15587,0
15613941424,0.1875
15642808417,0
1577648502,0
15802841343,0.25
15891048975,0.19230769230769232
15895305231,0
15926332068,0
1594832059,0
15987192192,0.16666666666666666
1624946855,0
16637647383,0.35714285714285715
16670724684,0.21052631578947367
1688metaverse,0.2857142857142857
168sk,0
168xiaomi168,0
17017,0.35
17161412,0.36
172057407,0
1724369736,0.42857142857142855
17316781969,0
1737fed,0.25
174566818,0
17603695008,0
17680252468,0.25
17774297663,0.2
17811889809,0
178318136,0
179509837,0.21052631578947367
17y,0
181618,0.3939393939393939
18190771201818553,0.1
18335126755754765,0.1
184eth,0.1276595744680851
18547882924,0
18580764418,0
18600828647,0
18635836257,0
18654554409,0
18654600292,0
18669897735,0
18713777393,0.23076923076923078
188506252,0.2
188xiaomi188,0
18923850027,0
190659194693964,0.1
191376324,0
192luck,0
194964,0.14634146341463414
19500,0.3333333333333333
1965384oswald,0.125
19730607,0.17647058823529413
197f,0
1980122,0.29411764705882354
19812021,0.125
1981sherry,0.25
1984btc,0.16666666666666666
1984lab,0
19858889,0.35714285714285715
1988btc,0
1988svenulrich,0
19906949580,0.07142857142857142
1991aesder,0
199rahulgupta,0.22857142857142856
1a1b1c,0.125
1amnotsyd,0
1btc10000,0.08333333333333333
1claude2021,0
1dend3,0
1dk25111987,0
1dvadvach,0
1f8a4a,0.2222222222222222
1fairness,0
1fil,0
1gitcoin,0.25
1humpbackwhale,0.4
1hungngo,0
1korn,0.2857142857142857
1lameo00,0.125
1moldovan1,0
1moruq,0.25
1munucb,0.1
1nezuko1,0.14285714285714285
1owdre,0
1payeth,0.08333333333333333
1ponev,0
1q2qq789,0
1r3ndww,0
1top2,0
1uck8,0.3125
1xb2,0.17647058823529413
1xdefi,0.16666666666666666
2000090144,0
2000hua,0.07692307692307693
200618eth,0.2222222222222222
2009eth,0
2009matizcre,0.25
20101214am,0.38461538461538464
2011557foxrich,0.2
2019tarikul,0.2857142857142857
201new,0
20210629,0
2021eth,0
20220916,0.07142857142857142
2036764,0
2046kiki,0.2
20567092,0.07692307692307693
2068394189,0.2
2092664584,0
20pandora,0.25
21-hidetaka-ko,0.125
210018eth,0
210031eth,0.125
2100411500,0.25
211952244395026,0.1
2174537945,0.25
2187nick,0.3333333333333333
21newbook,0
21saki,0
22225259,0
2235789,0.06666666666666667
228f,0.13333333333333333
22wright,0
233457,0
23kamila,0
23kolc,0
23user2,0
2406anon,0.3684210526315789
2469836706,0
24houses,0
24jharris,0.5
256yangwei,0.2727272727272727
258hung,0
25miso,0
262002600,0.2
262dblack,0
2671073237,0.3
270361048midas,0
2718798970,0
273858272,0.08333333333333333
2783253526,0.3076923076923077
279214895,0.16666666666666666
27mikhai,0.2
280andre,0
281mrowek,0
282fff,0
2840eth,0.3333333333333333
285fenix,0
287189868,0.038461538461538464
290ggg,0
292how,0
2932057011,0
294801592,0.07692307692307693
294tatam,0
295wewe,0
297392481,0.11538461538461539
2980245,0
2beggxseageass,0
2c2t,0.3
2cccc2,0.14285714285714285
2cpae32,0
2dnerd,0
2f49,0
2gis2016,0
2ndshadow,0
2neko2,0
2ntheway,0
2pai,0.375
2rendering23,0
2sigmacrypto,0
2spencer,0
2tay2sungak,0
2twister203,0
3029429892,0
310106doteth,0.08333333333333333
310454,0.2222222222222222
31deniedotov3,0
32333li,0
323sss,0
3265886826,0.35714285714285715
32935,0.25
3299635182,0.2916666666666667
3302ft,0.25
33568,0.09090909090909091
335979110,0
33backwards,0.26666666666666666
33fecdsvr34,0
33sedeelze,0.4666666666666667
3421311575,0
34227,0.1
34338343,0
343889606985595,0.1
3458e,0
345dfq,0
34nbs,0.2857142857142857
35058y5,0.24
351752443,0
3602275837,0.16666666666666666
365192876,0.2
383189580,0.10526315789473684
38miyaou,0.09090909090909091
38to38,0
3963811044753932,0
399299405,0
3alpha,0.05
3amiram,0.21428571428571427
3atkhucb,0
3dleo,0.3888888888888889
3g3g,0.15
3kuu5,0.21428571428571427
3ouin,0.2
3reps,0.45454545454545453
3swdsd,0.18181818181818182
3threepan,0
3xtr00verman,0.05263157894736842
4-1-3-x,0.4878048780487805
402336718603217,0.12195121951219512
404hub,0.42857142857142855
412ed,0.5833333333333334
416852305,0.40625
4200368358,0.2
422802djdj,0.15789473684210525
428804359,0.4
4296969,0.08333333333333333
432garantra,0
439964186,0
43and43,0
43z708,0.029411764705882353
453683474,0.21052631578947367
45623regryh,0.35714285714285715
458451861038504,0.1
459518117,0
466701977,0.045454545454545456
466sghhg,0
4681041914556,0.1
469005880,0.1
46bigtrees,0
475942901,0
478400112,0
483215950,0.1
48sowa,0
499602d2,0.5833333333333334
499966199,0.125
4d1e1,0.5
4e-69-63-6b-20-42-6f-73,0.14285714285714285
4esnok88,0.18181818181818182
4folium,0.125
4ioriis,0.2727272727272727
4j0h49,0
4mo4ever,0.1
4norim,0.125
4otoflower,0.2
4rdfh,0
4seasonfood,0
50mmcollective,0.12
51247147,0
51aird,0.2
520971,0.07692307692307693
520ii,0.16666666666666666
521023228,0
52aird,0
52mxd1314,0
5353tom,0
5391zhou1,0.2222222222222222
53aird,0.16666666666666666
53osambulgogi,0.16666666666666666
54165165,0.3076923076923077
546110596,0
546eac,0
54fa,0.23529411764705882
55177,0
5552233gl,0
55555btc,0.19230769230769232
55rama44,0
55x55x,0
56697097,0.25
567a-4733,0
568851453,0
569297526,0
5704f03428a2720,0
574708831,0
5761847,0
5798zhuang3,0
57isaprime,0.15
58188,0
583181266,0
58668,0
58767,0.3888888888888889
58tigerjack58,0
58tongc,0.125
5923d,0
592805,0
5956247,0
5aa5aa,0
5chachaluv,0.2727272727272727
5kumar5,0
5parm1t,0.5151515151515151
5pence-eth,0.3023255813953488
5starsdao,0.08
5windym,0.1
6020202,0.1111111111111111
60523,0.2
609332633,0.13333333333333333
6222eth,0
625880531,0.11538461538461539
62apart,0.2222222222222222
62car,0
6336650,0.1875
6366689,0
6366693,0.17647058823529413
645663288,0
65733272,0.14285714285714285
65dos,0.3333333333333333
65faustoss,0.47058823529411764
662n,0.10869565217391304
66363331,0
666-eth,0.17647058823529413
666eaa,0.2
666mercy,0.25
666rrt,0.16666666666666666
66boy,0
66ertc,0
670312120,0.2727272727272727
672tifb,0
677566,0
67winsow,0
67yfsex3,0
6899866,0
696-eth,0.4
69alenzz,0
69fu,0
6boom6,0
6e00,0.23529411764705882
6emo,0
6f29e11112,0.125
6kmjgmb,0
6tomato,0.0625
6xrave,0.14285714285714285
6yeey6,0.21739130434782608
70266,0
709061464,0.1
7147eth,0.2857142857142857
719121561051369,0.15
72836241,0.48
7499380,0
74roof,0
751895405,0
759938,0
760174070,0
762115226,0.08333333333333333
76556754,0
7726413239315470,0
777-block,0
7777777seven7,0.42105263157894735
7778666,0
